,0,1,Class
350,3.4622877,2.3479664,131
351,2.6795678,-0.22755632,132
352,2.045133,1.8000227,132
353,3.6963542,0.31683794,132
354,3.0377297,1.1084375,132
355,2.6304526,2.0009596,132
356,3.529702,3.8374197,132
357,3.4503381,-0.9456801,132
358,2.634411,2.0272589,132
359,3.6995378,-0.14232671,132
360,3.3533404,-1.102127,132
361,3.2126462,2.2646933,132
362,4.0975046,2.8733692,132
363,2.421607,0.67546,132
364,4.152192,3.5923004,132
365,2.4783378,2.0486956,132
366,1.4176114,1.2226365,132
367,1.3992544,5.2476954,132
368,2.0627673,2.01457,132
369,0.23294412,3.048889,132
370,2.4495091,4.0790567,132
371,1.6552137,2.6809013,132
372,0.96448267,-0.28582972,132
373,2.600499,0.8276351,132
374,2.2347398,2.4558113,132
375,2.4152544,0.77274203,132
376,4.013773,3.9319932,132
377,2.7078516,2.034589,132
378,0.89200085,1.6071211,134
379,1.7303431,4.1623907,134
380,4.104872,3.0955424,134
381,2.2005613,2.9418316,134
382,3.4266093,-1.0352869,134
383,1.3727865,1.3847626,134
384,2.4453518,4.4992967,134
385,2.0854974,3.191829,134
386,0.082217485,0.8441998,134
387,1.7104709,1.822082,134
388,1.5217595,3.699457,135
389,2.4372618,3.726159,135
390,2.5970538,0.6581427,135
391,0.2243049,1.0277536,135
392,4.9039273,2.3226628,135
393,1.4145567,3.6778345,135
394,1.679991,3.2831452,135
395,0.17140071,0.2642186,135
396,2.015146,4.155111,135
397,0.120424755,0.2774783,135
398,1.1241298,1.5575309,135
399,2.4048533,3.945261,135
400,1.2191267,1.2453283,136
401,4.9250784,1.4877387,136
402,3.8536344,2.105563,136
403,4.0086427,3.1363869,136
404,2.9308672,-0.7739576,136
405,3.9537613,-0.70918524,136
406,1.9662553,3.2874188,136
407,-0.83657235,-0.2445678,136
408,-1.146151,4.6594834,136
409,0.6427791,1.7370796,136
410,1.9865066,3.1393592,137
411,4.17201,1.6461062,137
412,2.555418,3.8593721,137
413,-0.64742684,1.2843474,137
414,3.0386667,2.1128995,137
415,3.5257306,1.3066499,137
416,2.8571823,3.666707,137
417,2.2766702,3.1996646,137
418,1.8213626,3.7341585,137
419,3.1554978,-0.0725263,137
420,0.42180914,3.089352,137
421,0.1542262,4.452118,137
422,2.1059766,3.2949698,137
423,2.0327659,3.1576803,137
424,2.3951092,-0.96796674,137
425,2.2962787,3.3473458,137
426,2.2519948,3.2139733,137
427,3.140278,-0.5036006,138
428,4.55658,1.5596926,138
429,2.6378734,-0.5988771,138
430,2.3690128,2.1652057,138
431,3.1961699,-0.34485978,138
432,3.9788938,1.1653502,138
